date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate
2018-03-06,-1.4499999999999955,-0.0589334599999999,0.0480000000000018,-0.5645000000000095,-0.370000000000001,0.4981999999999971,39.20000000000073,2408.0,-207.66267281104956,86.0,0.0,0.09
2018-03-07,-0.9600000000000009,-0.0589334599999999,0.0480000000000018,0.2942000000000035,-0.5999999999999979,0.4981999999999971,39.20000000000073,2408.0,-207.66267281104956,86.0,0.0100000000000002,0.09
2018-03-08,1.8900000000000008,-0.0589334599999999,0.0480000000000018,0.1760000000000019,-1.2200000000000024,0.4981999999999971,39.20000000000073,2408.0,-207.66267281104956,86.0,-0.0300000000000002,0.09
2018-03-09,-0.6700000000000017,-0.0589334599999999,0.0480000000000018,-0.3440999999999974,-1.8999999999999984,0.4981999999999971,39.20000000000073,5022.0,-207.66267281104956,12.0,0.04,0.09
2018-03-12,-0.6600000000000037,-0.0589334599999999,0.0480000000000018,0.0207999999999941,1.1399999999999988,0.4981999999999971,39.20000000000073,5022.0,-207.66267281104956,12.0,-0.0299999999999998,0.09
2018-03-13,0.2000000000000028,-0.0589334599999999,0.0480000000000018,-0.2053999999999973,0.5700000000000021,0.4981999999999971,39.20000000000073,5022.0,-207.66267281104956,12.0,-0.0300000000000002,0.09
2018-03-14,0.269999999999996,-0.0589334599999999,0.0480000000000018,0.1239000000000061,0.879999999999999,0.4981999999999971,39.20000000000073,5022.0,-207.66267281104956,12.0,-0.0299999999999998,0.09
2018-03-15,1.1300000000000026,-0.0589334599999999,0.0480000000000018,0.3408999999999906,-0.6400000000000006,0.4981999999999971,39.20000000000073,5022.0,-207.66267281104956,12.0,0.0099999999999997,0.09
2018-03-16,-0.2800000000000011,-0.0589334599999999,0.0480000000000018,0.2300000000000039,-0.7899999999999991,0.4981999999999971,39.20000000000073,-2622.0,-207.66267281104956,26.0,0.0300000000000002,0.09
2018-03-19,1.3599999999999994,-0.0589334599999999,0.0480000000000018,-0.118700000000004,3.219999999999999,0.4981999999999971,39.20000000000073,-2622.0,-207.66267281104956,26.0,0.0,0.09
2018-03-20,1.7299999999999969,-0.0589334599999999,0.0480000000000018,0.1808000000000049,-0.8200000000000003,0.4981999999999971,39.20000000000073,-2622.0,-207.66267281104956,26.0,0.04,0.09
2018-03-21,-0.8499999999999943,-0.0589334599999999,0.0480000000000018,0.0,-0.3399999999999998,0.4981999999999971,39.20000000000073,-2622.0,-207.66267281104956,26.0,0.0,0.09
2018-03-22,1.5499999999999972,-0.0589334599999999,0.0480000000000018,-0.5018000000000029,5.48,0.4981999999999971,39.20000000000073,-2622.0,-207.66267281104956,26.0,-0.06,0.09
2018-03-23,-0.3100000000000023,-0.0589334599999999,0.0480000000000018,-0.2439999999999997,1.5300000000000011,0.4981999999999971,39.20000000000073,1643.0,-207.66267281104956,26.0,-0.0100000000000002,0.09
2018-03-26,-0.2800000000000011,-0.0589334599999999,0.0480000000000018,-0.5675999999999988,-3.84,0.4981999999999971,39.20000000000073,1643.0,-207.66267281104956,26.0,0.0300000000000002,0.09
2018-03-27,-0.9099999999999966,-0.0589334599999999,0.0480000000000018,0.1539999999999963,1.4699999999999989,0.4981999999999971,39.20000000000073,1643.0,-207.66267281104956,26.0,-0.0700000000000002,0.09
2018-03-28,0.5700000000000074,-0.0589334599999999,0.0480000000000018,0.237400000000008,0.370000000000001,0.4981999999999971,39.20000000000073,1643.0,-207.66267281104956,26.0,-0.0099999999999997,0.09
2018-03-29,-1.8200000000000072,-0.0589334599999999,0.0480000000000018,0.091700000000003,-2.900000000000002,0.4981999999999971,39.20000000000073,1643.0,-207.66267281104956,26.0,-0.0299999999999998,0.09
2018-04-02,0.3599999999999994,-0.0151814999999999,0.6500000000000057,0.0382999999999924,3.650000000000002,1.1261999999999972,12.200000000000728,-4617.0,-24.72161290323129,27.0,-0.0100000000000002,0.1799999999999999
2018-04-03,-0.0599999999999951,-0.0151814999999999,0.6500000000000057,-0.140900000000002,-2.5199999999999996,1.1261999999999972,12.200000000000728,-4617.0,-24.72161290323129,27.0,0.06,0.1799999999999999
2018-04-04,0.1799999999999997,-0.0151814999999999,0.6500000000000057,0.0737000000000023,-1.0400000000000027,1.1261999999999972,12.200000000000728,-4617.0,-24.72161290323129,27.0,0.0,0.1799999999999999
2018-04-05,-1.5,-0.0151814999999999,0.6500000000000057,0.0919999999999987,-1.1199999999999974,1.1261999999999972,12.200000000000728,-4617.0,-24.72161290323129,27.0,0.04,0.1799999999999999
