date,oil_diff_target,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2021-04-15,-0.2600000000000051,0.2700000000000031,0.10554007,1.6529999999999632,-0.1667999999999949,-0.4199999999999981,0.1731000000000051,116.0,-5890.0,55.53852258064581,100.0,-0.0799999999999998,0.0,2.9499999999999957,-0.1600000000000037,1.2641874860951947,2.1357736796127096,61.152,60.349,1.0133059371323467,1,3.810000000000008,-1.1299999999999957,0,0,0,0
2021-04-16,0.1700000000000017,-0.2600000000000051,0.10554007,1.6529999999999632,-0.1367000000000047,-0.3200000000000003,0.1731000000000051,116.0,594.0,55.53852258064581,0.0,0.03,0.0,0.2700000000000031,-0.3200000000000003,1.2515710127674302,1.8513905869003595,61.926,60.50949999999999,1.0234095472611742,1,3.870000000000003,3.2099999999999937,0,0,0,1
2021-04-19,-0.7199999999999989,0.1700000000000017,0.10554007,1.6529999999999632,-0.2978999999999985,1.0399999999999991,0.1731000000000051,116.0,594.0,55.53852258064581,0.0,0.02,0.0,-0.2600000000000051,0.4100000000000037,1.2734323696214458,1.8252397102846796,62.652,60.60450000000001,1.0337846199539638,1,3.630000000000001,1.8999999999999984,0,0,1,0
2021-04-20,-1.269999999999996,-0.7199999999999989,0.10554007,1.6529999999999632,0.0519000000000033,1.3900000000000006,0.1731000000000051,116.0,594.0,55.53852258064581,0.0,-0.03,0.0,0.1700000000000017,0.5,1.4342837933964423,1.8343370378480488,63.134,60.661,1.0407675442211637,1,2.410000000000002,1.1300000000000026,0,0,0,0
2021-04-21,0.1099999999999994,-1.269999999999996,0.10554007,1.6529999999999632,-0.0583000000000026,-1.1799999999999995,0.1731000000000051,116.0,594.0,55.53852258064581,0.0,-0.01,0.0,-0.7199999999999989,2.9499999999999957,0.6413813218356869,1.6391669097120154,62.772000000000006,60.840500000000006,1.031746944880466,1,-1.8099999999999896,3.5900000000000034,0,0,0,0
2021-04-22,0.7299999999999969,0.1099999999999994,0.10554007,1.6529999999999632,0.0525999999999982,1.2100000000000009,0.1731000000000051,116.0,594.0,55.53852258064581,0.0,0.0,0.0,-1.269999999999996,0.2700000000000031,0.6049214825080126,1.4571900681575292,62.378,60.85699999999999,1.0249930164155316,1,-1.9699999999999935,0.3300000000000054,0,0,0,0
2021-04-23,-0.1599999999999966,0.7299999999999969,0.10554007,1.6529999999999632,-0.1407999999999987,-1.3800000000000026,0.1731000000000051,116.0,90.0,55.53852258064581,-100.0,0.01,0.0,0.1099999999999994,-0.2600000000000051,0.7926411546214909,1.3213289761289568,62.181999999999995,61.0425,1.0186673219478233,1,-0.9799999999999915,3.710000000000001,0,0,0,1
2021-04-26,1.009999999999998,-0.1599999999999966,0.10554007,1.6529999999999632,-0.2779999999999916,0.3100000000000023,0.1731000000000051,116.0,90.0,55.53852258064581,-100.0,0.0,0.0,0.7299999999999969,0.1700000000000017,0.7678997330379078,1.2090686933600012,61.92,61.097,1.0134703831612026,1,-1.3099999999999898,1.0900000000000034,0,0,1,0
2021-04-27,0.7800000000000011,1.009999999999998,0.10554007,1.6529999999999632,0.0987999999999971,-0.0800000000000018,0.1731000000000051,116.0,90.0,55.53852258064581,-100.0,0.0499999999999998,0.0,-0.1599999999999966,-0.7199999999999989,0.8899887639738431,1.2230767932167488,62.004,61.174,1.0135678556249386,1,0.420000000000007,1.5399999999999991,0,0,0,0
2021-04-28,1.1899999999999975,0.7800000000000011,0.10554007,1.6529999999999632,-0.1188000000000073,-0.2799999999999976,0.1731000000000051,116.0,90.0,55.53852258064581,-100.0,0.0,0.0,1.009999999999998,-1.269999999999996,0.4947019304588295,1.2081830638564568,62.498000000000005,61.337,1.0189282162479416,1,2.470000000000004,3.260000000000005,0,0,0,0
2021-04-29,-1.5,1.1899999999999975,0.10554007,1.6529999999999632,-0.0444999999999993,0.3299999999999983,0.1731000000000051,116.0,90.0,55.53852258064581,-100.0,0.02,0.0,0.7800000000000011,0.1099999999999994,0.5202403290784866,1.173041368678735,63.208000000000006,61.62750000000001,1.0256460184171026,1,3.5500000000000025,5.810000000000002,0,0,0,0
2021-04-30,0.9599999999999936,-1.5,0.10554007,1.6529999999999632,0.3375000000000057,1.0,0.1731000000000051,116.0,-7990.0,55.53852258064581,0.0,0.0,0.0,1.1899999999999975,0.7299999999999969,1.114867705155949,1.1455978673532492,63.472,61.732000000000006,1.0281863539169311,1,1.3200000000000056,2.0900000000000034,0,0,0,1
2021-05-03,1.2600000000000051,0.9599999999999936,-0.08109936,1.7690000000000057,-0.0789000000000044,-0.3000000000000007,0.8746000000000009,-24.600000000000364,-7990.0,488.71331612903305,0.0,-0.02,-0.01,-1.5,-0.1599999999999966,1.1208791192629524,0.952875288686602,63.96,62.0185,1.0313051750687297,1,2.439999999999996,5.729999999999997,0,0,1,0
2021-05-04,-0.0900000000000034,1.2600000000000051,-0.08109936,1.7690000000000057,0.2845999999999975,1.1700000000000017,0.8746000000000009,-24.600000000000364,-7990.0,488.71331612903305,0.0,-0.0199999999999997,-0.01,0.9599999999999936,1.009999999999998,1.1550411248088504,0.9753104768820496,64.498,62.3375,1.034658111088831,1,2.690000000000003,6.3799999999999955,0,0,0,0
2021-05-05,-0.8999999999999915,-0.0900000000000034,-0.08109936,1.7690000000000057,-0.1381999999999976,-0.3300000000000018,0.8746000000000009,-24.600000000000364,-7990.0,488.71331612903305,0.0,-0.02,-0.01,1.2600000000000051,0.7800000000000011,1.1748319028693823,0.9791193680252714,64.862,62.630500000000005,1.0356296053839582,1,1.8199999999999985,5.859999999999992,0,0,0,0
2021-05-06,0.2299999999999897,-0.8999999999999915,-0.08109936,1.7690000000000057,-0.3112999999999886,-0.759999999999998,0.8746000000000009,-24.600000000000364,-7990.0,488.71331612903305,0.0,-0.01,-0.01,-0.0900000000000034,1.1899999999999975,1.1792709612297296,1.0106141957402337,64.80799999999999,62.8865,1.0305550475857297,1,-0.2699999999999907,5.1200000000000045,0,0,0,0
2021-05-07,-0.039999999999992,0.2299999999999897,-0.08109936,1.7690000000000057,-0.8152000000000044,-1.6999999999999993,0.8746000000000009,-24.600000000000364,-426.0,488.71331612903305,100.0,0.02,-0.01,-0.8999999999999915,-1.5,0.8593427721227953,1.001558128223533,65.1,63.17,1.0305524774418235,1,1.459999999999999,5.669999999999995,0,0,0,1
