date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2007-02-01,1.6599999999999966,2.28715091,204.226,97.7101,10.31,100.7753,11178.2,307711.0,32776.833,5224.0,-0.12,4.84,5.26,1.1400000000000006,-0.75,1.8412957394183072,1.619498297881819,56.388,54.145,1.0414258010896666,1,3.859999999999999,-0.9600000000000009,1,0,0,0
2007-02-02,-0.3200000000000003,2.28715091,204.226,97.9743,10.08,100.7753,11178.2,307193.0,32776.833,5283.0,-0.11,4.83,5.26,-0.8200000000000003,1.8900000000000008,1.808972083808926,1.5388703991120112,57.114,54.313,1.051571446983227,1,3.629999999999995,3.359999999999999,1,0,0,1
2007-02-05,0.2199999999999988,2.28715091,204.226,97.87,10.55,100.7753,11178.2,307193.0,32776.833,5283.0,-0.11,4.81,5.26,1.6599999999999966,-1.3700000000000043,1.5467643647304536,1.5383449753413236,58.05,54.43300000000001,1.0664486616574502,1,4.68,2.3999999999999986,1,0,1,0
2007-02-06,-1.1599999999999966,2.28715091,204.226,97.7357,10.65,100.7753,11178.2,307193.0,32776.833,5283.0,-0.13,4.77,5.26,-0.3200000000000003,3.020000000000003,1.0212149626792588,1.5364938727676836,58.426,54.5745,1.0705732530760703,1,1.8799999999999957,2.8299999999999983,1,0,0,0
2007-02-07,2.009999999999998,2.28715091,204.226,97.7239,10.32,100.7753,11178.2,307193.0,32776.833,5283.0,-0.13,4.74,5.26,0.2199999999999988,1.1400000000000006,1.105567727459515,1.5592862739761832,58.342,54.6795,1.0669812269680594,1,-0.4200000000000017,2.1000000000000014,1,0,0,0
2007-02-08,0.1000000000000014,2.28715091,204.226,97.8169,10.44,100.7753,11178.2,307193.0,32776.833,5283.0,-0.14,4.73,5.26,-1.1599999999999966,-0.8200000000000003,1.3351479318787096,1.553923641692387,58.824,54.96999999999999,1.0701109696197928,1,2.4099999999999966,5.809999999999995,1,0,0,0
2007-02-09,-2.1000000000000014,2.28715091,204.226,97.7076,11.1,100.7753,11178.2,306604.0,32776.833,5316.0,-0.13,4.79,5.26,2.009999999999998,1.6599999999999966,1.1621101496846145,1.4555696117798158,58.99400000000001,55.36750000000001,1.0654987131439924,1,0.8500000000000014,7.950000000000003,1,0,0,1
2007-02-12,1.2199999999999989,2.28715091,204.226,97.9409,11.61,100.7753,11178.2,306604.0,32776.833,5316.0,-0.14,4.8,5.26,0.1000000000000014,-0.3200000000000003,1.5557249114158966,1.5486938469494058,58.80800000000001,55.6075,1.0575551859011825,1,-0.9299999999999996,4.799999999999997,1,0,1,0
2007-02-13,-0.9799999999999968,2.28715091,204.226,97.7063,10.34,100.7753,11178.2,306604.0,32776.833,5316.0,-0.13,4.82,5.26,-2.1000000000000014,0.2199999999999988,1.6802618843501742,1.4905840430762989,58.82199999999999,55.995000000000005,1.0504866505938026,1,0.0700000000000002,7.75,1,0,0,0
2007-02-14,-0.0799999999999983,2.28715091,204.226,97.2779,10.23,100.7753,11178.2,306604.0,32776.833,5316.0,-0.13,4.74,5.26,1.2199999999999989,-1.1599999999999966,1.650484777269999,1.511518929317199,58.87199999999999,56.28000000000001,1.0460554371002129,1,0.25,5.700000000000003,1,0,0,0
