date,headline,url,keyword,source
2015-11-22,'Hunger Games: Mockingjay - Part 2' debuts to franchise-low $101 million,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQbndUTC1nb3VkRFBzWmlLV0d4TEVNZ3I5cGpvTXVaUUxVYnMyMGNkZllkQjRlTm41QlZEdVRyTk1tUnFGTjBaWF9wV0IzZHJ5SzNOZ2VxOEFGM295WFgzN1ZKVWVuT2RnYTd6RzJ5TjRTRUJ6dEgtTWpqNU1makdDdkd4elNJSFVqd05wNXhERlNoZzdneXRQR2FoeGFpckZ2RnhtdFloY3ZHQnAzOG9GTlI4THo2bnJfSEpsOXhKYkU?oc=5,brent,Reuters
2015-11-12,Those who fought,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBWRU9pMXhPUkFxMjhqeDd6Wl9tOUdoYkR4a0FYczIxaVpPY3RiUVB1SGlLcjRxc1hfOXpZZmVoTGYtbmotMmxIcDBLN0FUdGF1OVRVZHJVb05lWlVyVDd5Q2xyMA?oc=5,brent,Reuters
2015-11-08,Prelios 9-month net loss shrinks to 16.6 million euros,https://news.google.com/rss/articles/CBMirAFBVV95cUxQWXVRU1dvY0hFME94NjBYZjJpOUc5b0ZGQXJzYjhQRXZHUERqWndkOWUyOTM1OUlfXzBlMHdaX3cyNUN6dUF4WmxSbndCWEpfM1FWdFc2SlJwOUstNFVGaDc3YklNWFM3MkZ3ZFpVREtnTlBTZFdEaXJ6a294S0xWWk9LTTFodF9Bc2lBelFsMG1udnB0bWhMTVhFVUZ6UmlIajhEdGlsa2hlSHp4?oc=5,brent,Reuters
2015-10-30,RBS shares down 1.8 percent after Q3 results,https://news.google.com/rss/articles/CBMinwFBVV95cUxONmNGcFlqLXpFbnVFeFpiNndjbWsza0pzNlgza3N1aGZ2al93THZWRm9pa250ejlIZWVhMDRqdldpR3lCOXVhQklQMlk1RW56Wk1TLWtkWTYwcnhkTng1SnQ2SzlBZHBldU1DUnZlTmRYRTlYUkRkUE5VakY4SFB3RXg1aXZXU2VuSUZZQ1FmZkxod2JEb2NkNHFieUwtZkU?oc=5,brent,Reuters
2015-10-30,Crude oil falls after U.S. growth figures disappoint,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPcy1kSUkyaS13enB1ZXE1M05tMV9Tb1JLMm1nRFVLRDhZMGN4WnlIQlh3Vnk3LUNxWVNlRUpoUFNZc1RTd0NIeHFYa2ZtQmFCUUZhSnBYWmo3V19KNUlqV3pPTzBVeFd1ZHo0cUZZUWI2VEFTUDdfUVJSQkNtMHVKaEVKdnFNRUNDckVjYmxhREQ4TkcwQUR2VWJPRjdBMGlXODBaV0J5STFCZw?oc=5,brent,Reuters
2015-10-30,NY energy fund Blueshift shuts; big options trades eyed: sources,https://news.google.com/rss/articles/CBMiugFBVV95cUxQVHYybEpCbWxNajFWRDU0cGtLam41c2JZeDBUaC1JTWE3OWpJVlBWMWdwSmtHRDJob1pnbktsSWphUTZtWEFHZUJqY25qUTBIdHJocDJGMTI3THRQSW9MT3dZYkRMSHMxeDlXNzlYRk8xQkNqOHNlbW5wb0xvbG1nbnZEVTl3Zi1yUnRYalJaSlp0RC1KMDEzdUFDbmVsYnd1eFVzZEl5QVJJSHdsT2ZadktWV1owdFhuVVE?oc=5,brent,Reuters
2015-10-19,Halliburton revenue misses on weak drilling in North America,https://news.google.com/rss/articles/CBMitwFBVV95cUxQSTVDQ0tVREIzcTdlYTN0Vkl2WXN4S0htNjVMOTJ2dlJoRE55amZYR2l1Vi16WFN2SkdNMTMzWjNSLU56RV9weEQwZi1iWmtUemNyU2NXUzBpX1k2M09HdGlST2RNWENnM29pdk9mYWd5TXZNQjI5M1JkN2xKcmRyUjJhVjA0NmFnTlNFRC11LWxtc1RoN2Vic3RCcnlSOVhoc1h0bjRNWEUzVkxXMWp2ckVoYzNBeVU?oc=5,brent,Reuters
2015-10-14,Oil glut up by half a billion barrels in 2015,https://news.google.com/rss/articles/CBMinwFBVV95cUxNVHZhOEY3bThueE1PcnhBMlRBN0pzS0NGc1hmTFN1QkVtYzBzRk5iazlsOFl4SmdOZE9LeWVUSjhNcWMxWWtvNXM3SVd3Vlh1MXltR3JIYkFvTEhZX0NjaE1aSmpFczdMdFltb2xhWWxMN1ZwQk94WVZnY1ExakpkQng5U0tXZDQ3UGVvV0diRzBiVU0za3VXRXJGMG1SUlk?oc=5,brent,Reuters
2015-10-14,Oil down again; global glut worry offsets U.S. output drop,https://news.google.com/rss/articles/CBMisAFBVV95cUxPdzBSV21zczVoa1J2NHdUWnZITFJNc1hsdWNVVTIyMm9yaGZLSVZMOTlIR2VyR3IwTVExU0JuS011dkphTDdGNDdHNUhvZEpRaTE4S29vNkVDVWFwaVF3b2hDcEh1djJ0aDFLM2kzZ251M3RreENZRmVUc3QwOTdhWnpUZG4ydmoteUxmdm5fd0ZFWlhQUGxlamVMOGRtQ2ZtSW9ZTmhKOEM2eXhud29IZA?oc=5,brent,Reuters
2015-10-12,ΑΝΑΚΟΙΝΩΣΗ-Εθνική Τράπεζα-Θα υπάρξουν επαφές με επενδυτές για Finansbank,https://news.google.com/rss/articles/CBMidEFVX3lxTE9nU3VZRmk5X0VGTGhRbWM3N0Z0M3pNekVXN0RZYkhtWWRqMFIyUmRrR1NYZFdpb1FwUWI5Qy1nWHN1OWFVdU1uR3UwbHJWbS02SmZPa1lNOVNhMlhDdGJPcTBjbjZhQUNyS21kdU9OaHZoNzg3?oc=5,brent,Reuters
2015-09-29,Stocks touch two-year lows on commodity outlook; U.S. biotechs volatile,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOem5kTTNjRmxHMWhrQVpqVWVVbk5RaG9DdU51Si0wSzZ1c0ZnaS1LRXRHNTFOTElMV3Q2QzBmMGRDUVN1c3NTNnFzRXp5OHJNTG4wQWNad0J3UWVhb0tGOTFDdGpabU1PVWt4VHNTaVFudlpMOThfMUtUUkMtTjlyUmQzRG5IMTlwMkIwaFJDUVhtVDdzNTZkZ2RCMndOcllFeXJ2cWJYLUM4cWt6RFM2UG9qMVh2QlkwaFFnSmhrVWNFUQ?oc=5,brent,Reuters
