date,headline,summary,url,source,category,keyword,event,oil_relevance,is_noise
2020-03-19,"OPEC supply curbs, U.S. measures could support oil prices near term: Goldman","OPEC supply curbs, U.S. measures could support oil prices near term: Goldman Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdjJDZDNnRE1TR0ZsSERYQWl2d2xSZE5xNmlQX29ZY0psZXJNVzNSLTNaYnZrQXFDOVFDV3h5b1M4dGVtSFZHWXlwa3c4bWhXdjZ3YU9ZNUdFelZiWE1zVTRLdDlzcjBsMG5RaTBRQThFeXVVVmdqMnBIN3BCOG5ReGw1S09QTVFLNExyNU8tWDRkOGZwaUNBcTA4Q3ZmNWVCSTJCN0l0aXNMREQ0cVB3bDduRzhoSUFxdlRQNEFGelhzNTFCVGlZ?oc=5,Reuters,supply,OPEC production,covid_oil_shock,3,False
2020-03-19,How a Texas oil CEO's luxury land deals cost him his job,How a Texas oil CEO's luxury land deals cost him his job Reuters,https://news.google.com/rss/articles/CBMisAFBVV95cUxQZkl1X2h4ZDFma3BMbF9pYzRoNW5SVW5ONWZYaGlTXzN4U2V4b25lSldzNDY4Z3ZWMVNYTU81TERNMDhTOVBJcE5hLWg5ZFRVakFiNW0tc0hTdnFybkdMOS1DdWY2OFptRkNrMGoyWWJGb0RyR1RiT0tOX21tNWZ4RExrYTZyb0pKQkVpbWxfY2JiSDRnSmh4OHRveHdOd08wVTVyNHk0X1VUZnRlSlVENA?oc=5,Reuters,supply,US shale oil production,covid_oil_shock,2,False
2020-03-18,Mexico's Maya crude lowest in almost two decades - Platts,Mexico's Maya crude lowest in almost two decades - Platts Reuters,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPd0JjdXYwWExHdjVSUENLc3FCTnJoVGtlVzFLWjMzcENmcVFtRGd1eUZiNWwzR0YyYldabHc5NWxvQzJ1NGVITE5Nczc5RjZJdFhEXy1XZGJNb3ZnTzBsN1hicmR2cDh3d3RvTmpsSS1xOWVRdDhxdHJsenJiU25VS2xvN1VKaXhZQkpCeHQ2eU5JYjE1MFJ3QUxOemZIbnRDQ18xRDVuelU5T1NaODdOU0lRMV9GQnRF?oc=5,Reuters,supply,OPEC production,covid_oil_shock,1,False
2020-03-18,Mexico's Maya crude lowest in almost two decades - Platts,Mexico's Maya crude lowest in almost two decades - Platts Reuters,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPd0JjdXYwWExHdjVSUENLc3FCTnJoVGtlVzFLWjMzcENmcVFtRGd1eUZiNWwzR0YyYldabHc5NWxvQzJ1NGVITE5Nczc5RjZJdFhEXy1XZGJNb3ZnTzBsN1hicmR2cDh3d3RvTmpsSS1xOWVRdDhxdHJsenJiU25VS2xvN1VKaXhZQkpCeHQ2eU5JYjE1MFJ3QUxOemZIbnRDQ18xRDVuelU5T1NaODdOU0lRMV9GQnRF?oc=5,Reuters,supply,crude oil exports,covid_oil_shock,2,False
2020-03-18,"Oil supply surge could inundate global storage, push prices below $20/bbl - BoFA","Oil supply surge could inundate global storage, push prices below $20/bbl - BoFA Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxOamFTdnZvSm5iOGNDYVJNUkhkTm12YVJVVnAwaXBrNEFSeldfME9FbVdzYlVlOUZkbTJ5VEppUGxwUDlUbnRWQnN1T3AtX1lnNlZkQUZQbXlxM3lzYUxQME5zS1hWZ2JjR2QzSFVWTUctRFBpNWRPQ1ZNU1NBVlVQUEltVG1YdXpkbUkzM2V3RHFsN0JKTmYzbjdrYm43b285dDh1SllMdmdRc2NrUVRpRTNTQUdQMHdIQk44aktBZC1nZEJ6cTRB?oc=5,Reuters,supply,oil inventory,covid_oil_shock,2,False
2020-03-17,"Oil plunge sets off search for tanks, revives dormant Cushing storage trade","Oil plunge sets off search for tanks, revives dormant Cushing storage trade Reuters",https://news.google.com/rss/articles/CBMiygFBVV95cUxNaVhaSkZ4QWRfZzdIMnBlOFBjbk5PODAxU3czT3BEaG00RklxajJnd3hmcFFRVGdzOVN1TFlUN0ZlOUhvbnNxNmdqdlJnQnJpbjA4ZktwYVZXMWo1cmV1bm9xNGpQb2dyNWdzS2RvNzR6cHNRNzRTVmNjb1ZYVzc4WFBrUTMtcVlhT0RSNHAyNDlodnZsQ091R3pXLUQ2M3VnT0NpYnJQUmpvb1NiOXR3VDE0OG1nWFdBV01VOVhHWEd4ZzY3TjJiakdR?oc=5,Reuters,supply,crude oil exports,covid_oil_shock,2,False
2020-03-17,"Oil plunge sets off search for tanks, revives dormant Cushing storage trade","Oil plunge sets off search for tanks, revives dormant Cushing storage trade Reuters",https://news.google.com/rss/articles/CBMiygFBVV95cUxNaVhaSkZ4QWRfZzdIMnBlOFBjbk5PODAxU3czT3BEaG00RklxajJnd3hmcFFRVGdzOVN1TFlUN0ZlOUhvbnNxNmdqdlJnQnJpbjA4ZktwYVZXMWo1cmV1bm9xNGpQb2dyNWdzS2RvNzR6cHNRNzRTVmNjb1ZYVzc4WFBrUTMtcVlhT0RSNHAyNDlodnZsQ091R3pXLUQ2M3VnT0NpYnJQUmpvb1NiOXR3VDE0OG1nWFdBV01VOVhHWEd4ZzY3TjJiakdR?oc=5,Reuters,supply,oil inventory,covid_oil_shock,2,False
2020-03-17,Wall Street's funding markets exhale after Fed moves to boost short-term liquidity,Wall Street's funding markets exhale after Fed moves to boost short-term liquidity Reuters,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOekRheVAzcE12TkZzWFNTSWdRekt0OUYyazFCTWhHQVZaeTJ5OE4zM29NZ1dtemR2Q2V2SzIxUmxCU2pTdDRaTHdXUTlENnM1TnVLZTVqVE1vanRWck1nU192V2Q5NThhX3hhdVk5WHdwQm55bnhxSE9Lb3JBT2NFNm8wbWFBd0RkRnhraTNfS0dWcVo2dlFrbjlmaEpKbko3VkVONGlpb2hxckxUejU2TDYxZ191NUpaOGZ4eHRyV0VFUjk1TFQwSWh3LWdnY05V?oc=5,Reuters,supply,oil inventory,covid_oil_shock,0,True
2020-03-16,Few U.S. shale firms can withstand prolonged oil price war,Few U.S. shale firms can withstand prolonged oil price war Reuters,https://news.google.com/rss/articles/CBMisgFBVV95cUxOT2FoSHNFbFJfZGs4QXdTSnZfU3NxTG04VnA1aWFKT1U3WUwySnpXbEIwcnZ1U2JkWDI3ajFWUzBIOWJVZ19ZYTBpT25lZmM3Z2t5Z01fbktHTU9pZk5mel91QVJOM0xFVW1fU1FMMUNYY0pWbE02LS13OGRHZGxITnZQN3JfZnhObUpkY1RpTEtBV1hZRUliUHQ1QWpEY0VsUGp5cUNzNklDX29RWTdsV3p3?oc=5,Reuters,supply,OPEC production,covid_oil_shock,2,False
2020-03-16,Venezuela's to implement nationwide quarantine as coronavirus cases rise to 33,Venezuela's to implement nationwide quarantine as coronavirus cases rise to 33 Reuters,https://news.google.com/rss/articles/CBMiygFBVV95cUxQVHpLNl82UzBhRFRIanFIUGp3UVJCZV9WaGItUGJzNjJBOXRjNmQwbHh1bjlEdnRzY2d2UkNLaGhDWUc3bnlNbGVQVEUyTjI0TmlydURWY3V0dDdXbGpOaHItZ1M3Q2JIdC1rRFplWHQ3Snh0V3dYQlY5OHhuOTMtTXFybktwQXNKaUQ2cFh6YjhSMFlhRVFkVk8xZDMzTXVJRE5PZE83c09jT3Y0NWFaWFBxbC1TU3VLNlRxSVU4MkItOVZYUGdUbktB?oc=5,Reuters,supply,OPEC production,covid_oil_shock,0,True
2020-03-16,Few U.S. shale firms can withstand prolonged oil price war,Few U.S. shale firms can withstand prolonged oil price war Reuters,https://news.google.com/rss/articles/CBMisgFBVV95cUxOT2FoSHNFbFJfZGs4QXdTSnZfU3NxTG04VnA1aWFKT1U3WUwySnpXbEIwcnZ1U2JkWDI3ajFWUzBIOWJVZ19ZYTBpT25lZmM3Z2t5Z01fbktHTU9pZk5mel91QVJOM0xFVW1fU1FMMUNYY0pWbE02LS13OGRHZGxITnZQN3JfZnhObUpkY1RpTEtBV1hZRUliUHQ1QWpEY0VsUGp5cUNzNklDX29RWTdsV3p3?oc=5,Reuters,supply,US shale oil production,covid_oil_shock,3,False
2020-03-16,Five dead in fire at Petronas-Aramco refining complex in Malaysia,Five dead in fire at Petronas-Aramco refining complex in Malaysia Reuters,https://news.google.com/rss/articles/CBMixwFBVV95cUxQZFF2bnpOZTR3UGFweVdTUWlSLVBFc1h1SmgzN3g3Q1o2b29zenhtV2UtdkhrTTRsOHliME9lRXE4YWxGQ2pYWHBoNE1Qa2hOY0EtaXFKRzUxbFFYNHg2ZDdaMUZJeFVkRkxJQ1dGUTBQcTZhbnRNT205U1JIZk5YR0hMZnNZUXpmeEpBbkQteTlJVmNYcjhIdFItQjRnMVR1d2ZKODhkd0VvNHpoVUZlSWJ1VDBmMWJsZG9hX3lfVVN4aTFVdndv?oc=5,Reuters,supply,US shale oil production,covid_oil_shock,0,True
