feature,importance_gain,importance_split
VIX,908.8472972512245,72
CPI,887.8558035492897,50
OilProduction,830.9849345684052,56
OilInventories,716.2796366214752,61
TreasuryYield,469.58811116218567,40
RealInterestRate,407.34911704063416,43
DollarIndex,374.48476791381836,29
OPECProduction,348.7771019935608,35
CPE,344.47768184542656,31
FedFundsRate,232.74368917942047,20
IndustryProduction,218.52596068382263,26
