fold,MAE,RMSE,R2,Directional_Accuracy
1,1.273880062000884,1.6865373390318736,-0.00011179848480513677,0.5172413793103449
2,0.962262537401958,1.2824857894851684,0.006010483486177609,0.512539184952978
3,1.013224598218418,1.3200998050625972,0.0032167444031688808,0.5158227848101266
4,0.8147663434567651,1.1487893102957496,0.00391487659456069,0.5433070866141733
5,1.4240208080267875,3.4532220319153883,2.3004188276720683e-05,0.5322834645669291
