fold,MAE,RMSE,R2,Directional_Accuracy
1,1.2743496731262096,1.6855495930679398,0.0010593195131212152,0.5015673981191222
2,0.9577765958709503,1.280201172820713,0.009548709575166736,0.5329153605015674
3,1.0137981311289528,1.3205636284176552,0.0025161722596611646,0.5205696202531646
4,0.8172772282633569,1.1478392357802787,0.005561764764689836,0.49763779527559054
5,1.4203485075257263,3.4478191399685425,0.0031496731587186133,0.5322834645669291
