dataset,best_cv_rmse,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
dataset3_diff_only_with_dummies,1.7763945540110258,5,0.04201077968744676,19,128,0.657406640761264,0.8701664945360195,0.2562803342359647,0.001354813177365718,0.08237066946279423
dataset3_diff_only,1.7773237504931043,7,0.03587424140766527,53,97,0.856972529274707,0.5517322025529974,0.038615603456975824,0.24520804028367715,0.005065753491168905
dataset4_derived_full,1.7734377788594755,4,0.03567463483610185,12,153,0.5939102449793803,0.7437137210691785,0.007497043408870867,0.035429508876166416,0.2725628219991748
