date,resid_default,resid_interpretation_style
2022-05-06,-5.560087770100509,-5.255004017161377
2022-05-09,-2.5764154414285034,-2.8454495905000687
2022-05-10,2.804890125022125,2.2540194308423316
2022-05-11,-0.8738657975737509,-0.3796679419190758
2022-05-12,3.5265279672806225,3.2953889831592105
2022-05-13,5.728051981832304,6.883425268953056
2022-05-16,1.9428452526867335,2.289214351602433
2022-05-17,-2.789196234481901,-3.053346252223953
2022-05-18,0.7267214965086082,0.5018678978434243
2022-05-19,2.046271582300072,2.6562127218717855
2022-05-20,-0.8029182473431271,-0.9334904665613526
2022-05-23,-0.0028563553932596797,-0.186458959451687
2022-05-24,1.4919965654993568,2.4258806256109287
2022-05-25,3.713176465225379,3.754675690433014
2022-05-26,0.35103298149740403,1.0380268735377056
2022-05-27,-0.972486019819703,-1.7566092131578988
2022-05-31,0.25743127830971346,0.34525012122215504
2022-06-01,2.836326283831867,2.5505289457950573
2022-06-02,3.8803317116244793,3.0974070167019025
2022-06-03,1.2745345946839164,1.211473055303513
2022-06-06,2.2303386107183067,1.6104767827210469
2022-06-07,2.1926691887360157,2.133830131036004
2022-06-08,0.18371157487683942,0.4034649348597431
2022-06-09,-1.3367899470749298,-1.6117399506905608
2022-06-10,-0.22708608687532525,-0.24132344850335782
2022-06-13,-1.3809989743305224,-1.8726816963516721
2022-06-14,-4.487721803716169,-4.531309281060068
2022-06-15,0.8239080612587892,0.8400586333576634
2022-06-16,-8.284849933509257,-8.443974052964215
2022-06-17,1.5401329033921802,1.911999681839091
2022-06-21,-4.962055163816956,-5.213315906902579
2022-06-22,-1.193618509216285,-1.3905026351674592
2022-06-23,3.056671669111328,3.222794738355611
2022-06-24,2.127837805484286,1.34094659920634
2022-06-27,3.5337614033232825,2.9488107352259503
2022-06-28,-0.9803285943179529,-1.5986918268774013
2022-06-29,-3.9057997108619285,-4.809614421994972
2022-06-30,2.2118082835297286,2.19067920113483
2022-07-01,-9.81149892677033,-9.135060116558856
2022-07-05,-1.277182084345249,-0.9123116186960127
2022-07-06,2.0755937683273107,1.4550244998379336
2022-07-07,4.264782302783727,4.409002751760212
2022-07-08,2.814457398510977,3.0964385011625395
2022-07-11,-6.925867858695986,-7.278978595183697
2022-07-12,1.0095763106717364,1.2223648444661728
2022-07-13,-0.01540632557882271,-0.11730022856871314
2022-07-14,1.3948986216142898,1.648144163078112
2022-07-15,5.8847136374377955,6.784167630812092
