model,description,n_features,RMSE,MAE,R2,Directional_Accuracy
LGBM_interpretation_in_sample,"전체 데이터 학습 + 전체 데이터 평가, 성능 비교용 아님",19,1.3678569248948356,0.8577224594659497,0.5379830801857333,0.7824093372238433
naive_zero,항상 0으로 예측,0,1.8159163492573112,1.3245520833333335,-8.77559023375607e-05,
LGBM_default,"기본 LGBM, 튜닝 없음",19,1.8745550267895457,1.3818675589979275,-0.06571927268084754,0.50625
LGBM_interpretation_style,Modeling_LGBM_interpretation의 파라미터를 train/test로 재평가,19,1.9149089311290381,1.3999810936513992,-0.11209703320236519,0.5041666666666667
