dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy
dataset1_raw_only,naive_zero,3838,960,12,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset2_raw_plus_derived,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset3_diff_only,naive_zero,3838,960,11,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset4_derived_full,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
