dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy
dataset1_raw_only,OLS,3838,960,12,1.3595239891169124,1.8678470575040425,-0.05810570970294804,0.51875
dataset2_raw_plus_derived,Lasso,3838,960,26,1.491704971147719,1.9594075877074553,-0.164383395851587,0.5166666666666667
dataset3_diff_only,Lasso,3838,960,11,1.3258661979182391,1.8244577802620394,-0.009518003362554817,0.5
dataset4_derived_full,OLS,3838,960,26,1.3542170411161039,1.8744934951903671,-0.06564931012019559,0.5197916666666667
